Term,Stamm,Sprache,Zeitraum
ആൽമരം,മരം,Malayalam,1200 CE - present (disputed)
പൂവ്,*pū,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കോ,*kō,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കോട്ട,कोट,Sanskrit,1500 BCE - present (liturgical/classical)
സ്ഥലം,स्थल,Sanskrit,1500 BCE - present (liturgical/classical)
ദേശം,देश,Sanskrit,1500 BCE - present (liturgical/classical)
ദേശാചാരം,देश,Sanskrit,1500 BCE - present (liturgical/classical)
നാട്,*nāṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആണ്‍കുട്ടി,ആണ്‍,Malayalam,1200 CE - present (disputed)
ആണ്‍കുട്ടി,കുട്ടി,Malayalam,1200 CE - present (disputed)
പെൺ,*peṇ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പെണ്‍കുട്ടി,പെണ്‍,Malayalam,1200 CE - present (disputed)
പെണ്‍കുട്ടി,കുട്ടി,Malayalam,1200 CE - present (disputed)
വേര്,*wēr,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സസ്യം,सस्य,Sanskrit,1500 BCE - present (liturgical/classical)
ധാന്യം,धान्य,Sanskrit,1500 BCE - present (liturgical/classical)
കരി,*kār,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അക്ക,*akka-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഭുതി,भुति,Sanskrit,1500 BCE - present (liturgical/classical)
റഫ്രിജറേറ്റർ,refrigerator,English,1550 CE - present
ഫ്രിഡ്ജ്,fridge,English,1550 CE - present
ഔഷധം,औषध,Sanskrit,1500 BCE - present (liturgical/classical)
കടമ്പു,कदम्ब,Sanskrit,1500 BCE - present (liturgical/classical)
വൃക്ഷം,वृक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
ചത,*čatay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
തച,*tačay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കൂണ്,*kūnt(t),Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ദിനം,दिन,Sanskrit,1500 BCE - present (liturgical/classical)
സമയം,समय,Sanskrit,1500 BCE - present (liturgical/classical)
വെള്ള,*weḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
തന്ത,*tantay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
തന്ത,*tanṯi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇന്ന്,*ī,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
താരം,तारा,Sanskrit,1500 BCE - present (liturgical/classical)
ജയം,जय,Sanskrit,1500 BCE - present (liturgical/classical)
ആയിരം,सहस्र,Sanskrit,1500 BCE - present (liturgical/classical)
പതിനായിരം,പത്ത്,Malayalam,1200 CE - present (disputed)
പതിനായിരം,ആയിരം,Malayalam,1200 CE - present (disputed)
മാലാഖ,ܡܠܐܟܐ,Classical Syriac,not available
അത്,*a-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അവൻ,*a-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇവൻ,*ī,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
താൻ,*tāṉ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
നാം,*ñăm,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കുറ്റസമ്മതം,കുറ്റം,Malayalam,1200 CE - present (disputed)
കുറ്റസമ്മതം,സമ്മതം,Malayalam,1200 CE - present (disputed)
വണ്ടി,भाण्ड,Sanskrit,1500 BCE - present (liturgical/classical)
പാപം,पाप,Sanskrit,1500 BCE - present (liturgical/classical)
ഝഷം,झष,Sanskrit,1500 BCE - present (liturgical/classical)
മോഹം,मोह,Sanskrit,1500 BCE - present (liturgical/classical)
രക്തം,रक्त,Sanskrit,1500 BCE - present (liturgical/classical)
ഉള്ളി,*uḷḷi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മകൾ,*mak-aḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അനുജൻ,अनुज,Sanskrit,1500 BCE - present (liturgical/classical)
ഭാര്യ,भार्या,Sanskrit,1500 BCE - present (liturgical/classical)
ഘനം,घन,Sanskrit,1500 BCE - present (liturgical/classical)
നീലം,नील,Sanskrit,1500 BCE - present (liturgical/classical)
കറുപ്പ്,*kār,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഓറഞ്ച്,orange,English,1550 CE - present
വെളുപ്പ്,*weḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സ്വർണ്ണം,स्वर्ण,Sanskrit,1500 BCE - present (liturgical/classical)
പച്ച,*pac-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മൃഗം,मृग,Sanskrit,1500 BCE - present (liturgical/classical)
വിശേഷം,विशेष,Sanskrit,1500 BCE - present (liturgical/classical)
ഒട്ടകം,उष्ट्र,Sanskrit,1500 BCE - present (liturgical/classical)
കളരിപ്പയറ്റ്,കളരി,Malayalam,1200 CE - present (disputed)
കളരിപ്പയറ്റ്,പയറ്റ്,Malayalam,1200 CE - present (disputed)
ഭാരം,भार,Sanskrit,1500 BCE - present (liturgical/classical)
കഷ്ടം,कष्ट,Sanskrit,1500 BCE - present (liturgical/classical)
ലോഹം,लोह,Sanskrit,1500 BCE - present (liturgical/classical)
കന്നി,कन्या,Sanskrit,1500 BCE - present (liturgical/classical)
തുലാം,तुला,Sanskrit,1500 BCE - present (liturgical/classical)
വൃശ്ചികം,वृश्चिक,Sanskrit,1500 BCE - present (liturgical/classical)
മകരം,मकर,Sanskrit,1500 BCE - present (liturgical/classical)
മേടം,मेष,Sanskrit,1500 BCE - present (liturgical/classical)
മീനം,मीन,Sanskrit,1500 BCE - present (liturgical/classical)
മീനം,*mīn,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കുംഭം,कुम्भ,Sanskrit,1500 BCE - present (liturgical/classical)
മിഥുനം,मिथुन,Sanskrit,1500 BCE - present (liturgical/classical)
കർക്കടകം,कर्कटक,Sanskrit,1500 BCE - present (liturgical/classical)
തിങ്കൾ,*tinkaḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ബുധൻ,बुध,Sanskrit,1500 BCE - present (liturgical/classical)
വെള്ളി,*weḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ശബ്ദം,शब्द,Sanskrit,1500 BCE - present (liturgical/classical)
വായ,*wāy,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ലോകം,लोक,Sanskrit,1500 BCE - present (liturgical/classical)
പഞ്ചസാര,पञ्च,Sanskrit,1500 BCE - present (liturgical/classical)
നഖം,नख,Sanskrit,1500 BCE - present (liturgical/classical)
പുരികം,भ्रू,Sanskrit,1500 BCE - present (liturgical/classical)
അരകല്ല്,അര,Malayalam,1200 CE - present (disputed)
അരകല്ല്,കല്ല്,Malayalam,1200 CE - present (disputed)
കത്തിക്കല്ല്,കത്തി,Malayalam,1200 CE - present (disputed)
കത്തിക്കല്ല്,കല്ല്,Malayalam,1200 CE - present (disputed)
ഉരകല്ല്,ഉര,Malayalam,1200 CE - present (disputed)
ഉരകല്ല്,കല്ല്,Malayalam,1200 CE - present (disputed)
ഗുല്ഫം,गुल्फ,Sanskrit,1500 BCE - present (liturgical/classical)
ഗുളിക,गुल,Sanskrit,1500 BCE - present (liturgical/classical)
അല്ലാഹു,اللهُ,Arabic,600 CE - present
അവസ്ഥ,अवस्था,Sanskrit,1500 BCE - present (liturgical/classical)
ശത്രു,शत्रु,Sanskrit,1500 BCE - present (liturgical/classical)
ചൈന,China,English,1550 CE - present
ആഗ്രഹം,आग्रह,Sanskrit,1500 BCE - present (liturgical/classical)
ആഫീസ്,office,English,1550 CE - present
ഓടുക,*ōṭu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മുട്ടുകുത്തുക,മുട്ട്,Malayalam,1200 CE - present (disputed)
മുട്ടുകുത്തുക,കുത്തുക,Malayalam,1200 CE - present (disputed)
അരി,*ari,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
തേങ്ങ,*tenkāy,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പച്ചക്കറി,പച്ച,Malayalam,1200 CE - present (disputed)
പച്ചക്കറി,കറി,Malayalam,1200 CE - present (disputed)
ജീരകം,जीरक,Sanskrit,1500 BCE - present (liturgical/classical)
കഴുത,*kaẓutay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കാക്ക,काक,Sanskrit,1500 BCE - present (liturgical/classical)
കോഴി,*kōẓi,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ചന്ദ്രൻ,चन्द्र,Sanskrit,1500 BCE - present (liturgical/classical)
രാജത്വം,राजत्व,Sanskrit,1500 BCE - present (liturgical/classical)
മാപ്പ്,مُعَاف,Arabic,600 CE - present
മാപ്പ്,map,English,1550 CE - present
ഭക്ഷണം,भक्षण,Sanskrit,1500 BCE - present (liturgical/classical)
മാര്‍,ܡܪܝ,Aramaic,not available
ഗർഭം,गर्भ,Sanskrit,1500 BCE - present (liturgical/classical)
ഏലം,*ēla,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വാക്ക്,वाक्,Sanskrit,1500 BCE - present (liturgical/classical)
കാരണം,कारण,Sanskrit,1500 BCE - present (liturgical/classical)
വിഗ്രഹം,विग्रह,Sanskrit,1500 BCE - present (liturgical/classical)
പാറ,*pāṯay,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ശതകം,शतक,Sanskrit,1500 BCE - present (liturgical/classical)
വ്യഭിചാരം,व्यभिचार,Sanskrit,1500 BCE - present (liturgical/classical)
യാത്രികൻ,यात्रिक,Sanskrit,1500 BCE - present (liturgical/classical)
മാലിന്യം,मालिन्य,Sanskrit,1500 BCE - present (liturgical/classical)
കല,कला,Sanskrit,1500 BCE - present (liturgical/classical)
ഗണിതം,गणित,Sanskrit,1500 BCE - present (liturgical/classical)
ഭക്തി,भक्ति,Sanskrit,1500 BCE - present (liturgical/classical)
ആവശ്യം,अवश्यम्,Sanskrit,1500 BCE - present (liturgical/classical)
സ്വന്തം,स्व,Sanskrit,1500 BCE - present (liturgical/classical)
മദ്യം,मद्य,Sanskrit,1500 BCE - present (liturgical/classical)
ദൂതൻ,दूत,Sanskrit,1500 BCE - present (liturgical/classical)
ചുള്ളിപ്രാണി,ചുള്ളി,Malayalam,1200 CE - present (disputed)
ചുള്ളിപ്രാണി,പ്രാണി,Malayalam,1200 CE - present (disputed)
ദീർഘക്ഷമ,दीर्घ,Sanskrit,1500 BCE - present (liturgical/classical)
ഉദ്ദേശം,उद्देश,Sanskrit,1500 BCE - present (liturgical/classical)
വൈകുന്നേരം,വൈകും,Malayalam,1200 CE - present (disputed)
വൈകുന്നേരം,നേരം,Malayalam,1200 CE - present (disputed)
ഭാഗം,भाग,Sanskrit,1500 BCE - present (liturgical/classical)
സ്ഥാനം,स्थान,Sanskrit,1500 BCE - present (liturgical/classical)
തലസ്ഥാനം,തല,Malayalam,1200 CE - present (disputed)
തലസ്ഥാനം,സ്ഥാനം,Malayalam,1200 CE - present (disputed)
ബാക്കി,بَاقٍ,Arabic,600 CE - present
പുളി,*puḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വാൽ,वाल,Sanskrit,1500 BCE - present (liturgical/classical)
മുള്ള്,*muḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പുല്ല്,*pul,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വിസർഗം,विसर्ग,Sanskrit,1500 BCE - present (liturgical/classical)
പതാക,पताका,Sanskrit,1500 BCE - present (liturgical/classical)
ധ്വജം,ध्वज,Sanskrit,1500 BCE - present (liturgical/classical)
സഭ,सभा,Sanskrit,1500 BCE - present (liturgical/classical)
ശാസ്ത്രം,शास्त्र,Sanskrit,1500 BCE - present (liturgical/classical)
ശാസ്ത്രം,*śāstra,Proto-Indo-Aryan,2000 BCE - 1500 BCE
മന്ത്രം,मन्त्र,Sanskrit,1500 BCE - present (liturgical/classical)
തീവണ്ടി,തീ,Malayalam,1200 CE - present (disputed)
തീവണ്ടി,വണ്ടി,Malayalam,1200 CE - present (disputed)
ചുവപ്പ്,*kem,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
കളം,*kaḷam,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
സംഗീതം,संगीत,Sanskrit,1500 BCE - present (liturgical/classical)
സ്വാഗതം,स्वागत,Sanskrit,1500 BCE - present (liturgical/classical)
വഞ്ചിക്കുക,वञ्चन,Sanskrit,1500 BCE - present (liturgical/classical)
പുഴ,*poẓ-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആറ്,*cāṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആറ്,*yāṯu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ആറ്,*āṯ-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വ്യക്തി,व्यक्ति,Sanskrit,1500 BCE - present (liturgical/classical)
ആള്,*āḷ,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇവൾ,*ī,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഇവ​ൾ,*ī,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
അവൾ,*a-,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
പൊന്ന്,*pon,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഏത്,*yā,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
മനസ്സ്,मनस्,Sanskrit,1500 BCE - present (liturgical/classical)
ചില്ലക്ഷരം,ചില്ല്,Malayalam,1200 CE - present (disputed)
ചില്ലക്ഷരം,അക്ഷരം,Malayalam,1200 CE - present (disputed)
അവഗ്രഹം,अवग्रह,Sanskrit,1500 BCE - present (liturgical/classical)
പ്രശ്ലേഷം,प्रश्लेषः,Sanskrit,1500 BCE - present (liturgical/classical)
പുഴു,*puẓu,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
വധം,वध,Sanskrit,1500 BCE - present (liturgical/classical)
വധു,वधू,Sanskrit,1500 BCE - present (liturgical/classical)
കുയിൽ,कोकिल,Sanskrit,1500 BCE - present (liturgical/classical)
തെങ്ങ്,*tenkāy,Proto-Dravidian,3000 BCE - 1500 BCE (disputed)
ഭവനം,भवन,Sanskrit,1500 BCE - present (liturgical/classical)
ഗജം,गज,Sanskrit,1500 BCE - present (liturgical/classical)
ദന്തം,दन्त,Sanskrit,1500 BCE - present (liturgical/classical)
വിപരീതം,विपरीत,Sanskrit,1500 BCE - present (liturgical/classical)
ചെറുതേനീച്ച,ചെറു,Malayalam,1200 CE - present (disputed)
ചെറുതേനീച്ച,തേൻ,Malayalam,1200 CE - present (disputed)
ചെറുതേനീച്ച,ഈച്ച,Malayalam,1200 CE - present (disputed)
തേനീച്ച,തേൻ,Malayalam,1200 CE - present (disputed)
തേനീച്ച,ഈച്ച,Malayalam,1200 CE - present (disputed)
തൊട്ടാവാടി,തൊട്ട്,Malayalam,1200 CE - present (disputed)
തൊട്ടാവാടി,വാടി,Malayalam,1200 CE - present (disputed)
സിന്ദൂരം,सिंदूर,Sanskrit,1500 BCE - present (liturgical/classical)
വയറിളക്കം,വയറ്,Malayalam,1200 CE - present (disputed)
വയറിളക്കം,ഇളക്കം,Malayalam,1200 CE - present (disputed)
ജലദോഷം,ജലം,Malayalam,1200 CE - present (disputed)
ജലദോഷം,ദോഷം,Malayalam,1200 CE - present (disputed)
ജലദോഷം,जल,Sanskrit,1500 BCE - present (liturgical/classical)
ജലദോഷം,दोष,Sanskrit,1500 BCE - present (liturgical/classical)
ഉപദ്രവം,उपद्रव,Sanskrit,1500 BCE - present (liturgical/classical)
കർമ്മം,कर्मन्,Sanskrit,1500 BCE - present (liturgical/classical)
ചെമ്മരിയാട്,ചെമ്മരി,Malayalam,1200 CE - present (disputed)
ചെമ്മരിയാട്,ആട്,Malayalam,1200 CE - present (disputed)
പവിത്രം,पवित्र,Sanskrit,1500 BCE - present (liturgical/classical)
ശുദ്ധം,शुद्ध,Sanskrit,1500 BCE - present (liturgical/classical)
ചെടിച്ചട്ടി,ചെടി,Malayalam,1200 CE - present (disputed)
ചെടിച്ചട്ടി,ചട്ടി,Malayalam,1200 CE - present (disputed)
ശ്രദ്ധ,श्रद्धा,Sanskrit,1500 BCE - present (liturgical/classical)
വെളുത്തീയം,വെളുത്ത,Malayalam,1200 CE - present (disputed)
വെളുത്തീയം,ഈയം,Malayalam,1200 CE - present (disputed)
മതം,मद,Sanskrit,1500 BCE - present (liturgical/classical)
തർക്കം,तर्क,Sanskrit,1500 BCE - present (liturgical/classical)
നീല,नील,Sanskrit,1500 BCE - present (liturgical/classical)
വിശ്വാസം,विश्वास,Sanskrit,1500 BCE - present (liturgical/classical)
പ്രശ്നം,प्रश्न,Sanskrit,1500 BCE - present (liturgical/classical)
രക്ഷിതാവായ,रक्षितव्य,Sanskrit,1500 BCE - present (liturgical/classical)
പരിശുദ്ധ,परिशुद्ध,Sanskrit,1500 BCE - present (liturgical/classical)
മോക്ഷം,मोक्ष,Sanskrit,1500 BCE - present (liturgical/classical)
മൃതശരീരം,मृतशरीरम्,Sanskrit,1500 BCE - present (liturgical/classical)
ദേഹം,देह,Sanskrit,1500 BCE - present (liturgical/classical)
പരിശുദ്ധത,परिशुद्धता,Sanskrit,1500 BCE - present (liturgical/classical)
ശോഭ,शोभा,Sanskrit,1500 BCE - present (liturgical/classical)
ശോകം,शोक,Sanskrit,1500 BCE - present (liturgical/classical)
സിദ്ധന്,सिद्ध,Sanskrit,1500 BCE - present (liturgical/classical)
ദേവത,देवता,Sanskrit,1500 BCE - present (liturgical/classical)
പ്രവാചകന്,प्रवाचक,Sanskrit,1500 BCE - present (liturgical/classical)
കഥ,कथा,Sanskrit,1500 BCE - present (liturgical/classical)
രൂപം,रूप,Sanskrit,1500 BCE - present (liturgical/classical)
ദൃശ്യം,दृश्य,Sanskrit,1500 BCE - present (liturgical/classical)
ക്ഷാമം,क्षाम,Sanskrit,1500 BCE - present (liturgical/classical)
രാജ്യം,राज्य,Sanskrit,1500 BCE - present (liturgical/classical)
വിപ്ലവം,विप्लव,Sanskrit,1500 BCE - present (liturgical/classical)
കാര്യാലയം,कार्यालय,Sanskrit,1500 BCE - present (liturgical/classical)
കാര്യാലയം,കാര്യം,Malayalam,1200 CE - present (disputed)
കാര്യാലയം,ആലയം,Malayalam,1200 CE - present (disputed)
റദ്ദാക്കുക,رد,Arabic,600 CE - present
